ID	pop1	pop2
F16-034	0.998	0.002
F16-160	0.998	0.002
F16-258	0.998	0.002
F16-158	0.998	0.002
F16-040	0.9975	0.0025
F16-263	0.997	0.003
F16-222	0.9958	0.0042
F16-187	0.993	0.007
F16-081	0.0326	0.9674
F16-130	0.0185	0.9815
F16-038	0.0115	0.9885
F16-215b	0.0112	0.9888
F16-230	0.0082	0.9918
F16-165	0.006	0.994
F16-252b	0.0053	0.9947
F16-206	0.005	0.995
F16-168	0.0046	0.9954
F16-066	0.004	0.996
F16-249	0.004	0.996
F16-002	0.004	0.996
F16-271	0.0035	0.9965
F16-086	0.0033	0.9967
F16-264	0.0031	0.9969
F16-115	0.003	0.997
F16-177	0.003	0.997
F16-196	0.003	0.997
F16-100	0.003	0.997
F16-124	0.003	0.997
F16-269b	0.003	0.997
F16-325b	0.003	0.997
F16-171	0.0029	0.9971
F16-224	0.0026	0.9974
F16-049	0.0021	0.9979
F16-279	0.0021	0.9979
F16-285b	0.0021	0.9979
F16-235	0.0021	0.9979
F16-063	0.002	0.998
F16-095	0.002	0.998
F16-119b	0.002	0.998
F16-121	0.002	0.998
F16-128	0.002	0.998
F16-136	0.002	0.998
F16-140	0.002	0.998
F16-146	0.002	0.998
F16-152	0.002	0.998
F16-184	0.002	0.998
F16-219	0.002	0.998
F16-220	0.002	0.998
F16-227	0.002	0.998
F16-237b	0.002	0.998
F16-244	0.002	0.998
F16-272b	0.002	0.998
F16-277b	0.002	0.998
F16-193	0.002	0.998
F16-156	0.002	0.998
F16-161	0.002	0.998
F16-243	0.002	0.998
F16-094	0.002	0.998
F16-150	0.002	0.998
F16-076	0.002	0.998
F16-118b	0.002	0.998
F16-127	0.002	0.998
F16-188	0.0017	0.9983
F16-302	0.0017	0.9983
F16-048	0.0016	0.9984
F16-166	0.0015	0.9985
F16-275b	0.0014	0.9986
F16-197	0.0012	0.9988
F16-126	0.0011	0.9989
F16-241	0.0011	0.9989
F16-180	0.001	0.999
